,0,1
0,0.6001304,0.39986962
1,0.5301063,0.4698937
2,0.7849463,0.21505365
3,0.30690718,0.6930928
4,0.5730734,0.42692664
5,0.64475524,0.35524473
6,0.57707083,0.42292917
7,0.42627174,0.57372826
8,0.6835692,0.31643084
9,0.63368773,0.3663123
10,0.6309141,0.3690859
11,0.4465779,0.5534221
12,0.50931776,0.49068227
13,0.59852815,0.40147188
14,0.6061434,0.39385659
15,0.66262627,0.3373737
16,0.69506687,0.30493313
17,0.55230355,0.44769648
18,0.56966865,0.43033138
19,0.48512626,0.51487374
20,0.7320644,0.26793557
21,0.24278635,0.75721365
22,0.5833342,0.41666582
23,0.52033895,0.47966105
24,0.28828663,0.7117134
25,0.76901764,0.23098235
26,0.39097065,0.60902935
27,0.5169358,0.48306414
28,0.38882017,0.6111798
29,0.5608045,0.4391955
30,0.4068936,0.5931064
31,0.33234024,0.66765976
32,0.7958023,0.20419769
33,0.55033875,0.44966123
34,0.4290802,0.5709198
35,0.5792492,0.4207508
36,0.5072512,0.4927488
37,0.45048517,0.54951483
38,0.52149403,0.47850597
39,0.41857165,0.58142835
40,0.5308956,0.46910444
41,0.7333158,0.26668417
42,0.6726425,0.32735747
43,0.6164609,0.38353905
44,0.33593315,0.66406685
45,0.53476965,0.46523032
46,0.6320084,0.36799163
47,0.421628,0.578372
48,0.58743036,0.41256964
49,0.6697465,0.33025345
50,0.69820356,0.30179644
51,0.6318221,0.36817792
52,0.5547029,0.44529712
53,0.6163635,0.38363644
54,0.27594697,0.724053
55,0.55820966,0.44179037
56,0.58518183,0.4148182
57,0.57399684,0.42600316
58,0.6393996,0.3606004
59,0.5017921,0.49820793
60,0.47743875,0.52256125
61,0.42105383,0.5789462
62,0.58584905,0.41415098
63,0.67683184,0.32316813
64,0.13945043,0.86054957
65,0.4555393,0.5444607
66,0.6678972,0.3321028
67,0.62141854,0.37858146
68,0.61530614,0.3846939
69,0.52828765,0.47171235
70,0.59692025,0.40307972
71,0.3588891,0.6411109
72,0.50970346,0.49029654
73,0.5868889,0.41311112
74,0.5618608,0.4381392
75,0.42364734,0.57635266
76,0.7522068,0.24779318
77,0.6446874,0.35531262
78,0.6311439,0.3688561
79,0.6113558,0.38864425
80,0.73422146,0.26577854
81,0.33796805,0.66203195
82,0.69987035,0.30012968
83,0.6540787,0.3459213
84,0.3251083,0.6748917
85,0.622121,0.37787905
86,0.6319121,0.36808792
87,0.5765337,0.4234663
88,0.5853275,0.41467252
89,0.35837018,0.6416298
90,0.36984622,0.6301538
91,0.39043397,0.60956603
92,0.6579759,0.34202412
93,0.6258228,0.37417725
94,0.77719176,0.22280826
95,0.62365127,0.37634876
96,0.659778,0.34022197
97,0.530988,0.469012
98,0.38043267,0.61956733
99,0.64840823,0.35159177
100,0.65991473,0.34008527
101,0.3267759,0.6732241
102,0.6631444,0.3368556
103,0.6923329,0.30766708
104,0.5492759,0.4507241
105,0.7343812,0.2656188
106,0.33928972,0.6607103
107,0.38680172,0.6131983
108,0.65863615,0.34136385
109,0.3752433,0.6247567
110,0.32777476,0.67222524
111,0.6126292,0.38737085
112,0.6457455,0.35425448
113,0.61560225,0.38439775
114,0.6628681,0.33713192
115,0.64179575,0.35820422
116,0.66742676,0.33257324
117,0.5884471,0.41155288
118,0.6737974,0.32620257
119,0.60533977,0.39466026
120,0.4790008,0.5209992
121,0.65764314,0.34235686
122,0.7484212,0.2515788
123,0.5449811,0.45501888
124,0.55886495,0.44113505
125,0.5669961,0.4330039
126,0.57919025,0.42080972
127,0.44115275,0.55884725
128,0.68354785,0.31645212
129,0.26287073,0.7371293
130,0.31219506,0.68780494
131,0.6703032,0.32969674
132,0.48179257,0.51820743
133,0.59999305,0.40000695
134,0.5424726,0.45752743
135,0.52529895,0.47470102
